PERMNO,date,TICKER,RET
13407,11/06/2019,FB,0.018762
13407,12/06/2019,FB,-0.017181
13407,13/06/2019,FB,0.013883
13407,14/06/2019,FB,0.021750
13407,17/06/2019,FB,0.042354
13407,18/06/2019,FB,-0.002857
13407,19/06/2019,FB,-0.005253
13407,20/06/2019,FB,0.010935
13407,21/06/2019,FB,0.008495
13407,24/06/2019,FB,0.007638
13407,25/06/2019,FB,-0.019522
13407,26/06/2019,FB,-0.006249
13407,27/06/2019,FB,0.009805
13407,28/06/2019,FB,0.018470
13407,01/07/2019,FB,0.000000
13407,02/07/2019,FB,0.010363
13407,03/07/2019,FB,0.011282
13407,05/07/2019,FB,-0.004057
13407,08/07/2019,FB,-0.003259
13407,09/07/2019,FB,0.017624
13407,10/07/2019,FB,0.017670
13407,11/07/2019,FB,-0.007399
13407,12/07/2019,FB,0.018089
13407,15/07/2019,FB,-0.004686
13407,16/07/2019,FB,-0.000343
13407,17/07/2019,FB,-0.010008
13407,18/07/2019,FB,-0.005055
13407,19/07/2019,FB,-0.012053
13407,22/07/2019,FB,0.019964
13407,23/07/2019,FB,0.000198
13407,24/07/2019,FB,0.011366
13407,25/07/2019,FB,-0.019300
13407,26/07/2019,FB,-0.004783
13407,29/07/2019,FB,-0.019074
13407,30/07/2019,FB,0.005614
13407,31/07/2019,FB,-0.014261
13407,01/08/2019,FB,-0.007723
13407,02/08/2019,FB,-0.019250
13407,05/08/2019,FB,-0.038567
13407,06/08/2019,FB,0.015297
13407,07/08/2019,FB,0.003469
13407,08/08/2019,FB,0.027059
13407,09/08/2019,FB,-0.012148
13407,12/08/2019,FB,-0.013202
13407,13/08/2019,FB,0.016615
13407,14/08/2019,FB,-0.046378
13407,15/08/2019,FB,0.016026
13407,16/08/2019,FB,0.006079
13407,19/08/2019,FB,0.013446
13407,20/08/2019,FB,-0.012677
13407,21/08/2019,FB,-0.001414
13407,22/08/2019,FB,-0.008227
13407,23/08/2019,FB,-0.023566
13407,26/08/2019,FB,0.014684
13407,27/08/2019,FB,0.005212
13407,28/08/2019,FB,0.002537
13407,29/08/2019,FB,0.020962
13407,30/08/2019,FB,0.000539
13407,03/09/2019,FB,-0.017666
13407,04/09/2019,FB,0.026043
13407,05/09/2019,FB,0.020092
13407,06/09/2019,FB,-0.017863
13407,09/09/2019,FB,0.006774
13407,10/09/2019,FB,-0.013721
13407,11/09/2019,FB,0.012462
13407,12/09/2019,FB,-0.005411
13407,13/09/2019,FB,-0.001494
13407,16/09/2019,FB,-0.005182
13407,17/09/2019,FB,0.009988
13407,18/09/2019,FB,0.000319
13407,19/09/2019,FB,0.010630
13407,20/09/2019,FB,-0.001104
13407,23/09/2019,FB,-0.016374
13407,24/09/2019,FB,-0.029654
13407,25/09/2019,FB,0.008385
13407,26/09/2019,FB,-0.014716
13407,27/09/2019,FB,-0.016712
13407,30/09/2019,FB,0.005534
13407,01/10/2019,FB,-0.012747
13407,02/10/2019,FB,-0.006882
13407,03/10/2019,FB,0.027377
13407,04/10/2019,FB,0.005965
13407,07/10/2019,FB,-0.004267
13407,08/10/2019,FB,-0.010741
13407,09/10/2019,FB,0.011814
13407,10/10/2019,FB,0.001001
13407,11/10/2019,FB,0.023107
13407,14/10/2019,FB,-0.004941
13407,15/10/2019,FB,0.030609
13407,16/10/2019,FB,0.003494
13407,17/10/2019,FB,0.004432
13407,18/10/2019,FB,-0.023846
13407,21/10/2019,FB,0.021038
13407,22/10/2019,FB,-0.039102
13407,23/10/2019,FB,0.020895
13407,24/10/2019,FB,0.001236
13407,25/10/2019,FB,0.008102
13407,28/10/2019,FB,0.008037
13407,29/10/2019,FB,-0.000475
13407,30/10/2019,FB,-0.005599
13407,31/10/2019,FB,0.018061
13407,01/11/2019,FB,0.010279
13407,04/11/2019,FB,0.005681
13407,05/11/2019,FB,-0.002054
13407,06/11/2019,FB,-0.014255
13407,07/11/2019,FB,-0.005899
13407,08/11/2019,FB,0.002206
13407,11/11/2019,FB,-0.006445
13407,12/11/2019,FB,0.025632
13407,13/11/2019,FB,-0.006582
13407,14/11/2019,FB,-0.000207
13407,15/11/2019,FB,0.010096
13407,18/11/2019,FB,0.011789
13407,19/11/2019,FB,0.009727
13407,20/11/2019,FB,-0.009081
13407,21/11/2019,FB,0.002126
13407,22/11/2019,FB,0.004497
13407,25/11/2019,FB,0.004879
