year,stock,beta1,beta2,beta3,beta4
2019,PGR,-0.40000000000000013,0.6600000000000003,-0.10000000000000009,0.2
2019,PLD,-0.5000000000000001,0.6000000000000002,-0.10000000000000009,0.5
2019,PM,-0.7000000000000001,0.4,-0.10000000000000009,0.7000000000000001
2019,QCOM,-0.6000000000000001,0.6200000000000002,-0.30000000000000004,0.1
2019,SCHW,-0.40000000000000013,0.8000000000000004,0.09999999999999987,0.4
2019,SO,-0.1000000000000002,0.8200000000000004,-0.30000000000000004,0.2
2019,SYK,-0.8,0.4,-0.10000000000000009,0.5
2019,T,-0.8,0.42000000000000004,-1.1102230246251565e-16,0.1
2019,TJX,-0.7000000000000001,0.5200000000000001,-0.10000000000000009,0.30000000000000004
2019,TMO,-0.7000000000000001,0.44000000000000006,-0.4,0.5
2019,TSLA,-0.9,0.7200000000000003,-0.10000000000000009,0.2
